PeakID (cmd=annotatePeaks.pl ./homer_results/mouse_specific_peaks_conservative/peaks_homer.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr16:36941061-36941596:278	chr3	121654698	121654698	+	-1	NA	intron (NM_005335, intron 3 of 13)	intron (NM_005335, intron 3 of 13)	6205	NM_001292041	3059		NM_005335	ENSG00000180353	HCLS1	CTTNL|HS1|lckBP1|p75	hematopoietic cell-specific Lyn substrate 1	protein-coding
chr5:75835130-75836002:133	chr4	54941602	54941602	+	-1	NA	Intergenic	Intergenic	183993	NM_002253	3791		NM_002253	ENSG00000128052	KDR	CD309|FLK1|VEGFR|VEGFR2	kinase insert domain receptor	protein-coding
chr10:116205584-116206031:225	chr12	70723126	70723126	+	-1	NA	intron (NM_130846, intron 2 of 9)	intron (NM_130846, intron 2 of 9)	31482	NR_073474	5801		NM_002849	ENSG00000153233	PTPRR	EC-PTP|PCPTP1|PTP-SL|PTPBR7|PTPRQ	protein tyrosine phosphatase receptor type R	protein-coding
chr4:33338042-33338388:158	chr6	88891553	88891553	+	-1	NA	intron (NM_001286428, intron 6 of 13)	intron (NM_001286428, intron 6 of 13)	72065	NM_001286426	8732		NM_003800	ENSG00000111880	RNGTT	CAP1A|HCE|HCE1|hCAP	RNA guanylyltransferase and 5'-phosphatase	protein-coding
chr13:37880763-37881056:170	chr6	7167215	7167215	+	-1	NA	intron (NM_001003698, intron 1 of 11)	intron (NM_001003698, intron 1 of 11)	59254	NM_001003699	6239		NM_002955	ENSG00000124782	RREB1	FINB|HNT|LZ321|RREB-1|Zep-1	ras responsive element binding protein 1	protein-coding
chr6:115480006-115481027:473	chr3	12424432	12424432	+	-1	NA	intron (NM_001374263, intron 7 of 7)	intron (NM_001374263, intron 7 of 7)	-60000	NM_001145394	80746		NM_025265	ENSG00000154743	TSEN2	PCH2B|SEN2|SEN2L	tRNA splicing endonuclease subunit 2	protein-coding
chr11:99120530-99120862:169	chr17	40531004	40531004	+	-1	NA	Intergenic	L2b|LINE|L2	-29381	NM_032865	84951		NM_032865	ENSG00000131746	TNS4	CTEN|PP14434	tensin 4	protein-coding
chr18:39248996-39249349:197	chr5	143060156	143060156	+	-1	NA	intron (NR_146198, intron 17 of 22)	intron (NR_146198, intron 17 of 22)	-132344	NR_046816	100874372		NR_046816	ENSG00000230789	ARHGAP26-IT1	-	ARHGAP26 intronic transcript 1	ncRNA
chr8:34447654-34448387:88	chr8	29760470	29760470	+	-1	NA	intron (NR_125815, intron 1 of 3)	intron (NR_125815, intron 1 of 3)	12161	NR_125815	101929450		NR_125814	ENSG00000253490	LINC02099	-	long intergenic non-protein coding RNA 2099	ncRNA
chr11:99126478-99127357:136	chr17	40536465	40536465	+	-1	NA	Intergenic	Intergenic	23929	NM_001301718	1236		NM_001838	ENSG00000126353	CCR7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	C-C motif chemokine receptor 7	protein-coding
chr9:32731747-32732101:182	chr11	128487158	128487158	+	-1	NA	intron (NM_001143820, intron 5 of 9)	intron (NM_001143820, intron 5 of 9)	35152	NM_001330451	2113		NM_005238	ENSG00000134954	ETS1	ETS-1|EWSR2|c-ets-1|p54	ETS proto-oncogene 1, transcription factor	protein-coding
chr16:56501528-56501912:177	chr3	100969784	100969784	+	-1	NA	intron (NM_001349329, intron 1 of 64)	intron (NM_001349329, intron 1 of 64)	23637	NM_015429	25890		NM_015429	ENSG00000154175	ABI3BP	NESHBP|TARSH	ABI family member 3 binding protein	protein-coding
chr15:59698819-59700152:377	chr8	125486272	125486272	+	-1	NA	Intergenic	Intergenic	54063	NM_001282985	10221		NM_025195	ENSG00000173334	TRIB1	C8FW|GIG-2|GIG2|SKIP1|TRB-1|TRB1	tribbles pseudokinase 1	protein-coding
chr10:105500456-105501029:237	chr12	82766346	82766346	+	-1	NA	intron (NM_001320321, intron 1 of 10)	intron (NM_001320321, intron 1 of 10)	79191	NM_001320322	160335		NM_152588	ENSG00000179104	TMTC2	IBDBP1	transmembrane O-mannosyltransferase targeting cadherins 2	protein-coding
chr10:39645827-39646201:131	chr6	111567439	111567439	+	-1	NA	promoter-TSS (NM_001164283)	promoter-TSS (NM_001164283)	-160	NM_001164283	10758		NM_147200	ENSG00000056972	TRAF3IP2	ACT1|C6orf2|C6orf4|C6orf5|C6orf6|CANDF8|CIKS|PSORS13	TRAF3 interacting protein 2	protein-coding
chr8:36290835-36291369:132	chr8	12795261	12795261	+	-1	NA	intron (NR_102423, intron 1 of 1)	intron (NR_102423, intron 1 of 1)	1021	NR_102423	101409254		NR_102423	ENSG00000255494	LINC00681	-	long intergenic non-protein coding RNA 681	ncRNA
chr19:34352853-34353916:928	chr10	89065168	89065168	+	-1	NA	Intergenic	Intergenic	-1757	NR_039827	100616192		NR_039827	ENSG00000265375	MIR4679-2	-	microRNA 4679-2	ncRNA
chr8:46842588-46843164:474	chr4	184392914	184392914	+	-1	NA	intron (NM_002199, intron 7 of 8)	intron (NM_002199, intron 7 of 8)	-10608	NR_125933	102723766		NR_125933		LINC02362	-	long intergenic non-protein coding RNA 2362	ncRNA
chr6:84139932-84140313:169	chr2	71600792	71600792	+	-1	NA	exon (NM_001130983, exon 34 of 56)	exon (NM_001130983, exon 34 of 56)	134093	NM_001130455	8291		NM_003494	ENSG00000135636	DYSF	FER1L1|LGMD2B|LGMDR2|MMD1	dysferlin	protein-coding
chr14:66847573-66848030:300	chr8	26608785	26608785	+	-1	NA	intron (NM_001244604, intron 3 of 13)	intron (NM_001244604, intron 3 of 13)	30380	NM_001244604	1808		NM_001386	ENSG00000092964	DPYSL2	CRMP-2|CRMP2|DHPRP2|DRP-2|DRP2|N2A3|ULIP-2|ULIP2	dihydropyrimidinase like 2	protein-coding
chr11:113201381-113202051:195	chr17	72592487	72592487	+	-1	NA	non-coding (NR_137281, exon 1 of 5)	non-coding (NR_137281, exon 1 of 5)	317	NR_137281	100499467		NR_036488	ENSG00000227036	LINC00673	ERRLR01|HI-LNC75|HILNC75|LUCAIR1|RASON|SLNCR|SLNCR1	long intergenic non-protein coding RNA 673	ncRNA
chr8:108869508-108869747:112	chr16	72876455	72876455	+	-1	NA	intron (NM_006885, intron 4 of 9)	intron (NM_006885, intron 4 of 9)	171673	NM_006885	463		NM_006885	ENSG00000140836	ZFHX3	ATBF1|ATBT|ATFB8|C16orf47|SCA4|ZFH-3|ZNF927	zinc finger homeobox 3	protein-coding
chr12:86833675-86834116:238	chr14	76959512	76959512	+	-1	NA	promoter-TSS (NR_133913)	promoter-TSS (NR_133913)	-126	NR_133913	105370578		NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
chr11:113729926-113730303:175	chr17	73287120	73287120	+	-1	NA	intron (NM_012121, intron 1 of 1)	intron (NM_012121, intron 1 of 1)	24881	NM_012121	23580		NM_012121	ENSG00000179604	CDC42EP4	BORG4|CEP4|KAIA1777	CDC42 effector protein 4	protein-coding
chr2:48456091-48456627:142	chr2	147482231	147482231	+	-1	NA	Intergenic	L2c|LINE|L2	-362286	NM_001278579	92		NM_001616	ENSG00000121989	ACVR2A	ACTRII|ACVR2	activin A receptor type 2A	protein-coding
chr11:97133813-97134479:329	chr17	47714336	47714336	+	-1	NA	Intergenic	Intergenic	-18900	NM_013351	30009		NM_013351	ENSG00000073861	TBX21	IMD88|T-PET|T-bet|TBET|TBLYM	T-box transcription factor 21	protein-coding
chr18:46621285-46621946:394	chr5	115686009	115686009	+	-1	NA	Intergenic	Intergenic	-13357	NR_104674	102467217		NR_104674		LOC102467217	-	uncharacterized LOC102467217	ncRNA
chr7:16373772-16374026:120	chr19	47149724	47149724	+	-1	NA	intron (NR_027280, intron 2 of 8)	intron (NR_027280, intron 2 of 8)	18889	NM_001145714	10055		NM_005500	ENSG00000142230	SAE1	AOS1|HSPC140|SUA1|UBLE1A	SUMO1 activating enzyme subunit 1	protein-coding
chr13:21506146-21506706:424	chr6	28164804	28164804	+	-1	NA	non-coding (NR_103448, exon 3 of 5)	non-coding (NR_103448, exon 3 of 5)	3043	NR_103448	651302		NM_001145129	ENSG00000226314	ZKSCAN8P1	ZNF192P1|ZNF389|ZNF389P|dJ265C24.4	ZKSCAN8 pseudogene 1	pseudo
chr18:39149819-39150241:265	chr5	142932091	142932091	+	-1	NA	exon (NM_001135608, exon 11 of 23)	exon (NM_001135608, exon 11 of 23)	-63181	NR_046680	100874239		NR_046680	ENSG00000226272	ARHGAP26-AS1	-	ARHGAP26 antisense RNA 1	ncRNA
chr17:47328859-47329235:204	chr6	42254879	42254879	+	-1	NA	exon (NM_001297573, exon 13 of 18)	exon (NM_001297573, exon 13 of 18)	-37018	NM_018141	55173		NM_018141	ENSG00000048544	MRPS10	MRP-S10|PNAS-122|uS10m	mitochondrial ribosomal protein S10	protein-coding
chr15:66883195-66884028:622	chr8	133176536	133176536	+	-1	NA	Intergenic	Intergenic	-14503	NM_001204869	8840		NM_003882	ENSG00000104415	CCN4	WISP1|WISP1-OT1|WISP1-UT1|WISP1c|WISP1i|WISP1tc	cellular communication network factor 4	protein-coding
chr8:88282598-88283083:295	chr16	50259513	50259513	+	-1	NA	Intergenic	Intergenic	-7038	NM_001114	113		NM_001114	ENSG00000121281	ADCY7	AC7	adenylate cyclase 7	protein-coding
chr17:86802378-86803006:458	chr2	46352846	46352846	+	-1	NA	intron (NM_001430, intron 2 of 15)	intron (NM_001430, intron 2 of 15)	41321	NR_146999	105374582		NR_146999	ENSG00000228100	LINC01820	-	long intergenic non-protein coding RNA 1820	ncRNA
chr18:76007896-76008656:293	chr18	48189874	48189874	+	-1	NA	intron (NM_001371285, intron 1 of 5)	intron (NM_001371285, intron 1 of 5)	4052	NM_001371288	201501		NM_001039360	ENSG00000184828	ZBTB7C	APM-1|APM1|ZBTB36|ZNF857C	zinc finger and BTB domain containing 7C	protein-coding
chr8:36908804-36909326:229	chr8	13463793	13463793	+	-1	NA	intron (NM_024767, intron 2 of 4)	L4_C_Mam|LINE|RTE-X	51058	NM_024767	10395		NM_006094	ENSG00000164741	DLC1	ARHGAP7|HP|STARD12|p122-RhoGAP	DLC1 Rho GTPase activating protein	protein-coding
chr11:11573743-11574078:123	chr7	50221210	50221210	+	-1	NA	Intergenic	Intergenic	-82854	NM_001291839	10320		NM_006060	ENSG00000185811	IKZF1	CVID13|Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1	IKAROS family zinc finger 1	protein-coding
chr16:92412789-92413116:207	chr21	34545233	34545233	+	-1	NA	intron (NM_004414, intron 1 of 3)	intron (NM_004414, intron 1 of 3)	-18223	NM_001331016	1827		NM_004414	ENSG00000159200	RCAN1	ADAPT78|CSP1|DSC1|DSCR1|MCIP1|RCN1	regulator of calcineurin 1	protein-coding
chr13:99190371-99190934:283	chr5	72499916	72499916	+	-1	NA	intron (NM_152625, intron 1 of 4)	intron (NM_152625, intron 1 of 4)	7494	NM_152625	167465		NM_152625	ENSG00000178175	ZNF366	DC-SCRIPT|DCSCRIPT	zinc finger protein 366	protein-coding
chr11:23211126-23211550:219	chr2	61585514	61585514	+	-1	NA	Intergenic	Intergenic	-47158	NM_003400	7514		NM_003400	ENSG00000082898	XPO1	CRM-1|CRM1|emb|exp1	exportin 1	protein-coding
chr10:59443246-59443609:194	chr10	72892325	72892325	+	-1	NA	Intergenic	Intergenic	-1414	NM_152635	170392		NM_152635	ENSG00000138315	OIT3	LZP	oncoprotein induced transcript 3	protein-coding
chr1:77202964-77203348:194	chr2	221236148	221236148	+	-1	NA	Intergenic	Intergenic	336156	NM_001363748	2043		NM_004438	ENSG00000116106	EPHA4	EK8|HEK8|SEK|TYRO1	EPH receptor A4	protein-coding
chr16:18798881-18799266:138	chr22	19497116	19497116	+	-1	NA	intron (NR_161281, intron 7 of 16)	intron (NR_161281, intron 7 of 16)	17196	NR_161281	8318		NM_003504	ENSG00000093009	CDC45	CDC45L|CDC45L2|MGORS7|PORC-PI-1	cell division cycle 45	protein-coding
chr11:119521817-119522614:634	chr17	80452112	80452112	+	-1	NA	Intergenic	Intergenic	24495	NM_002522	4884		NM_002522	ENSG00000171246	NPTX1	NP1|SCA50	neuronal pentraxin 1	protein-coding
chr8:80895406-80895720:185	chr4	143320359	143320359	+	-1	NA	Intergenic	Intergenic	-16517	NM_002039	2549		NM_002039	ENSG00000109458	GAB1	DFNB26	GRB2 associated binding protein 1	protein-coding
chr18:68493809-68494187:214	chr18	56577000	56577000	+	-1	NA	Intergenic	AmnSINE1|SINE|5S-Deu-L2	61592	NR_024546	9352		NM_004786	ENSG00000091164	TXNL1	HEL-S-114|TRP32|TXL-1|TXNL|Txl	thioredoxin like 1	protein-coding
chr11:80522887-80523778:126	chr17	32553434	32553434	+	-1	NA	intron (NM_015194, intron 21 of 21)	L2c|LINE|L2	66441	NM_003885	8851		NM_003885	ENSG00000176749	CDK5R1	CDK5P35|CDK5R|NCK5A|p23|p25|p35|p35nck5a	cyclin dependent kinase 5 regulatory subunit 1	protein-coding
chr7:75648914-75649386:283	chr15	85624836	85624836	+	-1	NA	intron (NM_001270546, intron 1 of 28)	intron (NM_001270546, intron 1 of 28)	4886	NM_001270546	11214		NM_006738	ENSG00000170776	AKAP13	AKAP-13|AKAP-Lbc|ARHGEF13|BRX|HA-3|Ht31|LBC|PRKA13|PROTO-LB|PROTO-LBC|c-lbc|p47	A-kinase anchoring protein 13	protein-coding
chr5:24474670-24475368:433	chr7	151115562	151115562	+	-1	NA	exon (NM_001308305, exon 1 of 9)	exon (NM_001308305, exon 1 of 9)	924	NM_001308305	116988		NM_031946	ENSG00000133612	AGAP3	AGAP-3|CENTG3|CRAG|MRIP-1|cnt-g3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	protein-coding
chr17:43398600-43398974:238	chr6	46911651	46911651	+	-1	NA	intron (NM_015234, intron 1 of 20)	intron (NM_015234, intron 1 of 20)	8180	NR_110658	101926962		NR_110658		ADGRF5-AS1	-	ADGRF5 antisense RNA 1	ncRNA
chr4:149921889-149922854:637	chr1	9339047	9339047	+	-1	NA	intron (NM_025106, intron 1 of 2)	intron (NM_025106, intron 1 of 2)	46153	NM_025106	80176		NM_025106	ENSG00000171621	SPSB1	SSB-1|SSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein-coding
chr16:30769018-30769638:303	chr3	194865343	194865343	+	-1	NA	Intergenic	Intergenic	-96634	NR_146990	105374293		NR_146990	ENSG00000230401	LINC01972	-	long intergenic non-protein coding RNA 1972	ncRNA
chr10:128743745-128744486:307	chr12	55932051	55932051	+	-1	NA	promoter-TSS (NM_201444)	promoter-TSS (NM_201444)	23	NM_201554	1606		NM_001345	ENSG00000065357	DGKA	DAGK|DAGK1|DGK-alpha	diacylglycerol kinase alpha	protein-coding
chr3:95293430-95293965:293	chr1	150999411	150999411	+	-1	NA	exon (NM_001376664, exon 7 of 10)	exon (NM_001376664, exon 7 of 10)	7491	NM_001376670	55793		NM_018379	ENSG00000143409	MINDY1	FAM63A|MINDY-1	MINDY lysine 48 deubiquitinase 1	protein-coding
chr2:27246982-27247781:359	chr9	133738357	133738357	+	-1	NA	promoter-TSS (NM_001134707)	promoter-TSS (NM_001134707)	-5	NM_001134707	1757		NM_007101	ENSG00000123453	SARDH	BPR-2|DMGDHL1|SAR|SARD|SDH	sarcosine dehydrogenase	protein-coding
chr10:8752396-8752778:191	chr6	148518805	148518805	+	-1	NA	intron (NM_001346505, intron 9 of 19)	intron (NM_001346505, intron 9 of 19)	9654	NM_001346509	23328		NM_015278	ENSG00000111961	SASH1	CAPOK|DUH|DUH1|SH3D6A|dJ323M4.1	SAM and SH3 domain containing 1	protein-coding
chr11:85955941-85956502:230	chr17	61526319	61526319	+	-1	NA	Intergenic	MIRc|SINE|MIR	64900	NM_199290	342538		NM_199290	ENSG00000253506	NACA2	ANAC|NACAL	nascent polypeptide associated complex subunit alpha 2	protein-coding
chr11:106163570-106163966:185	chr17	63703301	63703301	+	-1	NA	TTS (NR_046273)	TTS (NR_046273)	2963	NR_046273	729683		NR_046273		LOC729683	-	uncharacterized LOC729683	ncRNA
chr2:3730757-3731122:188	chr10	14584132	14584132	+	-1	NA	intron (NM_001282695, intron 2 of 5)	intron (NM_001282695, intron 2 of 5)	-11757	NM_001320735	83641		NM_031453	ENSG00000065809	FAM107B	C10orf45|HITS	family with sequence similarity 107 member B	protein-coding
chr8:94485365-94486220:715	chr16	57035480	57035480	+	-1	NA	intron (NM_001384955, intron 13 of 47)	L2b|LINE|L2	45923	NM_001384966	84166		NM_032206	ENSG00000140853	NLRC5	CLR16.1|NOD27|NOD4	NLR family CARD domain containing 5	protein-coding
chr10:121033832-121034512:152	chr12	65121549	65121549	+	-1	NA	promoter-TSS (NM_007191)	promoter-TSS (NM_007191)	-244	NM_007191	11197		NM_007191	ENSG00000156076	WIF1	WIF-1	WNT inhibitory factor 1	protein-coding
chr4:139430150-139430526:198	chr1	19151633	19151633	+	-1	NA	intron (NM_020765, intron 48 of 105)	intron (NM_020765, intron 48 of 105)	58633	NM_020765	23352		NM_020765	ENSG00000127481	UBR4	RBAF600|ZUBR1|p600	ubiquitin protein ligase E3 component n-recognin 4	protein-coding
chr6:53801374-53802346:623	chr7	28938028	28938028	+	-1	NA	Intergenic	Intergenic	20302	NM_014817	9865		NM_014817	ENSG00000255690	TRIL	-	TLR4 interactor with leucine rich repeats	protein-coding
chr5:123626632-123627033:210	chr12	122336223	122336223	+	-1	NA	intron (NM_001247997, intron 12 of 25)	intron (NM_001247997, intron 12 of 25)	-59319	NR_045382	100507066		NR_045382		CLIP1-AS1	-	CLIP1 antisense RNA 1	ncRNA
chr9:13511033-13511327:144	chr11	96214691	96214691	+	-1	NA	intron (NM_032427, intron 1 of 4)	intron (NM_032427, intron 1 of 4)	-126747	NR_036125	100422991		NR_036125	ENSG00000266192	MIR1260B	mir-1260b	microRNA 1260b	ncRNA
chr11:52273126-52273650:340	chr5	134124559	134124559	+	-1	NA	intron (NM_001366502, intron 1 of 7)	intron (NM_001366502, intron 1 of 7)	941	NM_001366502	6932		NM_003202	ENSG00000081059	TCF7	TCF-1	transcription factor 7	protein-coding
chr15:97762781-97763088:159	chr12	47753588	47753588	+	-1	NA	intron (NM_001098532, intron 1 of 26)	intron (NM_001098532, intron 1 of 26)	4810	NM_001098532	10411		NM_006105	ENSG00000079337	RAPGEF3	CAMP-GEFI|EPAC|EPAC1|HSU79275|bcm910	Rap guanine nucleotide exchange factor 3	protein-coding
chr4:11123566-11124089:410	chr8	94990925	94990925	+	-1	NA	intron (NM_001354524, intron 3 of 11)	intron (NM_001354524, intron 3 of 11)	-34050	NM_001354531	137682		NM_152416	ENSG00000156170	NDUFAF6	C8orf38|FRTS5|MC1DN17	NADH:ubiquinone oxidoreductase complex assembly factor 6	protein-coding
chr17:87490273-87490620:220	chr2	47226645	47226645	+	-1	NA	intron (NR_110207, intron 1 of 2)	intron (NR_110207, intron 1 of 2)	-49709	NM_001305625	805		NM_001743	ENSG00000143933	CALM2	CALM|CALML2|CAM1|CAM3|CAMC|CAMII|CAMIII|LQT15|PHKD|PHKD2|caM	calmodulin 2	protein-coding
chr8:45469481-45470073:149	chr4	186003179	186003179	+	-1	NA	Intergenic	Intergenic	-46807	NM_021069	8470		NM_003603	ENSG00000154556	SORBS2	ARGBP2|PRO0618	sorbin and SH3 domain containing 2	protein-coding
chr2:148443173-148443831:412	chr20	23086332	23086332	+	-1	NA	promoter-TSS (NM_012072)	promoter-TSS (NM_012072)	-8	NM_012072	22918		NM_012072	ENSG00000125810	CD93	C1QR1|C1qR(P)|C1qRP|CDw93|ECSM3|MXRA4|dJ737E23.1	CD93 molecule	protein-coding
chr13:43795400-43795918:127	chr6	14129735	14129735	+	-1	NA	intron (NM_001040280, intron 2 of 4)	intron (NM_001040280, intron 2 of 4)	11963	NM_001040280	9308		NM_004233	ENSG00000112149	CD83	BL11|HB15	CD83 molecule	protein-coding
chr1:133407403-133407810:198	chr1	204096003	204096003	+	-1	NA	intron (NM_005686, intron 1 of 13)	L1MB3|LINE|L1	22888	NM_005686	9580		NM_005686	ENSG00000143842	SOX13	ICA12|Sox-13	SRY-box transcription factor 13	protein-coding
chr12:33110730-33111319:287	chr7	105933388	105933388	+	-1	NA	Intergenic	Intergenic	-29876	NM_001301161	222256		NM_152750	ENSG00000128536	CDHR3	CDH28	cadherin related family member 3	protein-coding
chr7:25326169-25326637:252	chr19	42333646	42333646	+	-1	NA	exon (NM_001271938, exon 2 of 42)	exon (NM_001271938, exon 2 of 42)	8011	NM_001271938	1954		NM_001410	ENSG00000105429	MEGF8	C19orf49|CRPT2|EGFL4|SBP1	multiple EGF like domains 8	protein-coding
chr18:11875545-11875887:149	chr18	23182118	23182118	+	-1	NA	intron (NM_138375, intron 1 of 9)	intron (NM_138375, intron 1 of 9)	26293	NM_138375	91768		NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
chr7:132296619-132297412:334	chr10	124076046	124076046	+	-1	NA	intron (NM_001270764, intron 1 of 7)	intron (NM_001270764, intron 1 of 7)	16360	NM_015892	51363		NM_014863	ENSG00000182022	CHST15	BRAG|GALNAC4S-6ST	carbohydrate sulfotransferase 15	protein-coding
chr4:82466727-82467148:198	chr9	14273836	14273836	+	-1	NA	intron (NR_161383, intron 1 of 7)	L2|LINE|L2	26428	NM_001369479	4781		NM_005596	ENSG00000147862	NFIB	CTF|HMGIC/NFIB|MACID|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	nuclear factor I B	protein-coding
chr3:129724953-129725667:124	chr4	109959485	109959485	+	-1	NA	intron (NM_001963, intron 6 of 23)	intron (NM_001963, intron 6 of 23)	46602	NM_001178130	1950		NM_001963	ENSG00000138798	EGF	HOMG4|URG	epidermal growth factor	protein-coding
chr15:93743860-93744612:487	chr12	42790903	42790903	+	-1	NA	Intergenic	MIRb|SINE|MIR	98687	NR_135028	105369739		NR_135028	ENSG00000257114	LINC02450	-	long intergenic non-protein coding RNA 2450	ncRNA
chr4:53339706-53340031:169	chr9	105141462	105141462	+	-1	NA	Intergenic	MIR|SINE|MIR	-103143	NM_001330731	23446		NM_022109	ENSG00000070214	SLC44A1	CD92|CDW92|CHTL1|CONATOC|CTL1	solute carrier family 44 member 1	protein-coding
chr16:11461464-11461970:288	chr16	12147910	12147910	+	-1	NA	intron (NM_032167, intron 13 of 20)	intron (NM_032167, intron 13 of 20)	171176	NM_032167	92017		NM_032167	ENSG00000048471	SNX29	A-388D4.1|RUNDC2A	sorting nexin 29	protein-coding
chr14:76658086-76658734:204	chr13	44272171	44272171	+	-1	NA	Intergenic	Intergenic	-75971	NR_107046	102465876		NR_107046	ENSG00000276319	MIR8079	hsa-mir-8079	microRNA 8079	ncRNA
chr12:112607012-112607621:506	chr14	104710111	104710111	+	-1	NA	exon (NM_001031714, exon 13 of 22)	exon (NM_001031714, exon 13 of 22)	-14118	NM_152328	122622		NM_152328	ENSG00000185100	ADSS1	ADSSL1|MPD5	adenylosuccinate synthase 1	protein-coding
chr7:117462617-117463116:202	chr16	17369853	17369853	+	-1	NA	intron (NM_022166, intron 1 of 11)	intron (NM_022166, intron 1 of 11)	101107	NM_022166	64131		NM_022166	ENSG00000103489	XYLT1	DBQD2|PXYLT1|XT-I|XT1|XTI|XYLTI|xylT-I	xylosyltransferase 1	protein-coding
chr8:83662279-83662806:307	chr19	14480099	14480099	+	-1	NA	intron (NM_202468, intron 5 of 7)	intron (NM_202468, intron 5 of 7)	-4745	NM_000955	5731		NM_000955	ENSG00000160951	PTGER1	EP1	prostaglandin E receptor 1	protein-coding
chr11:70229652-70229987:158	chr17	7022997	7022997	+	-1	NA	promoter-TSS (NM_181844)	promoter-TSS (NM_181844)	-53	NM_181844	255877		NM_181844	ENSG00000161940	BCL6B	BAZF|ZBTB28|ZNF62	BCL6B transcription repressor	protein-coding
chr12:91654445-91654768:136	chr14	81281525	81281525	+	-1	NA	intron (NM_001256430, intron 5 of 7)	intron (NM_001256430, intron 5 of 7)	-60135	NM_201595	2957		NM_015859	ENSG00000165417	GTF2A1	TF2A1|TFIIA|TFIIA-42|TFIIAL	general transcription factor IIA subunit 1	protein-coding
chr12:80168119-80168627:323	chr14	68874979	68874979	+	-1	NA	exon (NM_001102, exon 21 of 21)	exon (NM_001102, exon 21 of 21)	-78736	NM_001244701	677		NM_004926	ENSG00000185650	ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	ZFP36 ring finger protein like 1	protein-coding
chr4:86317952-86318677:232	chr9	18749715	18749715	+	-1	NA	intron (NM_001040272, intron 15 of 28)	intron (NM_001040272, intron 15 of 28)	176409	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
chr2:29922039-29922456:229	chr9	128494565	128494565	+	-1	NA	exon (NM_153436, exon 16 of 16)	exon (NM_153436, exon 16 of 16)	-10127	NM_001499	2733		NM_001499	ENSG00000119392	GLE1	CAAHC|CAAHD|GLE1L|LCCS|LCCS1|hGLE1	GLE1 RNA export mediator	protein-coding
chr8:125568391-125568637:117	chr1	232628289	232628289	+	-1	NA	intron (NM_001377488, intron 1 of 21)	intron (NM_001377488, intron 1 of 21)	1844	NM_020808	57568		NM_020808	ENSG00000116991	SIPA1L2	SPAL2|SPAR2	signal induced proliferation associated 1 like 2	protein-coding
chr4:124817540-124818166:136	chr1	37844242	37844242	+	-1	NA	intron (NM_005955, intron 2 of 10)	intron (NM_005955, intron 2 of 10)	15350	NM_005955	4520		NM_005955	ENSG00000188786	MTF1	MTF-1|ZRF	metal regulatory transcription factor 1	protein-coding
chr6:115480006-115481027:140	chr3	12424101	12424101	+	-1	NA	intron (NM_001374263, intron 7 of 7)	intron (NM_001374263, intron 7 of 7)	-60331	NM_001145394	80746		NM_025265	ENSG00000154743	TSEN2	PCH2B|SEN2|SEN2L	tRNA splicing endonuclease subunit 2	protein-coding
chr6:143146815-143147207:157	chr12	22592099	22592099	+	-1	NA	intron (NR_135030, intron 2 of 3)	intron (NR_135030, intron 2 of 3)	32947	NR_135031	105369691		NR_135030		ETNK1-DT	-	ETNK1 divergent transcript	ncRNA
chr4:33396562-33396804:110	chr6	88780997	88780997	+	-1	NA	intron (NM_001286428, intron 10 of 13)	MER20|DNA|hAT-Charlie	182621	NM_001286426	8732		NM_003800	ENSG00000111880	RNGTT	CAP1A|HCE|HCE1|hCAP	RNA guanylyltransferase and 5'-phosphatase	protein-coding
chr6:135007462-135007973:289	chr12	12808369	12808369	+	-1	NA	Intergenic	Intergenic	-4977	NM_201224	51202		NM_016355	ENSG00000213782	DDX47	E4-DBP|HQ0256|MSTP162|RRP3	DEAD-box helicase 47	protein-coding
chr17:48418255-48418623:181	chr6	41064953	41064953	+	-1	NA	TTS (NM_006789)	TTS (NM_006789)	6887	NM_001329688	221443		NM_145063	ENSG00000124596	OARD1	C6orf130|TARG1|dJ34B21.3	O-acyl-ADP-ribose deacylase 1	protein-coding
chr10:79824412-79824874:178	chr19	755215	755215	+	-1	NA	intron (NR_135168, intron 1 of 3)	intron (NR_135168, intron 1 of 3)	4103	NR_135168	126353		NM_173481	ENSG00000099812	MISP	C19orf21|MISP1	mitotic spindle positioning	protein-coding
